"rank","name","weeks_in_top_10","hours_viewed","runtime","views"
"1","Saving Bikini Bottom: The Sandy Cheeks Movie","2","19500000","1:27","13400000"
"2","Ferdinand","1","13300000","1:50","7300000"
"3","Kingsman: The Secret Service","1","15000000","2:10","6900000"
"4","Jack Reacher: Never Go Back","5","12700000","1:58","6500000"
"5","Law Abiding Citizen","1","10500000","1:49","5800000"
"6","Kingsman: The Golden Circle","1","11400000","2:22","4800000"
"7","The Bad Guys","4","7700000","1:40","4600000"
"8","Jack Reacher","3","9700000","2:10","4500000"
"9","Trolls Band Together","4","6400000","1:32","4200000"
"10","PAW Patrol: The Mighty Movie","2","6100000","1:28","4200000"
